Assay,Gene,SampleID,Group,Batch,NPX
MTOR,MTOR,C06,Control,Batch2,7.226533807314608
MTOR,MTOR,C07,Control,Batch2,7.407706572135044
MTOR,MTOR,C08,Control,Batch2,7.619501945107404
MTOR,MTOR,C09,Control,Batch2,7.336206676103739
MTOR,MTOR,C10,Control,Batch2,7.6242912211900515
MTOR,MTOR,D01,Disease,Batch1,7.591101244407377
MTOR,MTOR,D02,Disease,Batch1,8.21059781393107
MTOR,MTOR,D03,Disease,Batch1,8.078323835426401
MTOR,MTOR,D04,Disease,Batch1,8.008834040059675
MTOR,MTOR,D05,Disease,Batch1,8.07917230291992
MTOR,MTOR,D06,Disease,Batch2,7.88489295851537
MTOR,MTOR,D07,Disease,Batch2,8.203114423332778
MTOR,MTOR,D08,Disease,Batch2,8.306935626015644
MTOR,MTOR,D09,Disease,Batch2,8.508676291197004
MTOR,MTOR,D10,Disease,Batch2,8.149366723854273
PIK3CA,PIK3CA,C01,Control,Batch1,7.343738210129552
PIK3CA,PIK3CA,C02,Control,Batch1,7.598826859161142
PIK3CA,PIK3CA,C03,Control,Batch1,7.493229677713512
PIK3CA,PIK3CA,C04,Control,Batch1,7.338697641296702
PIK3CA,PIK3CA,C05,Control,Batch1,
PIK3CA,PIK3CA,C06,Control,Batch2,7.631528436857415
PIK3CA,PIK3CA,C07,Control,Batch2,7.788410576270689
PIK3CA,PIK3CA,C08,Control,Batch2,7.487684921076845
PIK3CA,PIK3CA,C09,Control,Batch2,7.55507529158717
PIK3CA,PIK3CA,C10,Control,Batch2,7.5434750104109805
PIK3CA,PIK3CA,D01,Disease,Batch1,8.270621787310988
PIK3CA,PIK3CA,D02,Disease,Batch1,8.587356127846393
PIK3CA,PIK3CA,D03,Disease,Batch1,8.581044426967148
PIK3CA,PIK3CA,D04,Disease,Batch1,8.534974900170411
PIK3CA,PIK3CA,D05,Disease,Batch1,8.491828793967242
PIK3CA,PIK3CA,D06,Disease,Batch2,8.459287744405694
PIK3CA,PIK3CA,D07,Disease,Batch2,8.638338319877004
PIK3CA,PIK3CA,D08,Disease,Batch2,8.65236586499995
PIK3CA,PIK3CA,D09,Disease,Batch2,8.569644569514876
PIK3CA,PIK3CA,D10,Disease,Batch2,8.685023049874887
JUN,JUN,C01,Control,Batch1,8.622349061988073
JUN,JUN,C02,Control,Batch1,8.314259606079908
JUN,JUN,C03,Control,Batch1,8.329194670100275
JUN,JUN,C04,Control,Batch1,8.269435334932266
JUN,JUN,C05,Control,Batch1,7.937456781016349
JUN,JUN,C06,Control,Batch2,8.458063102189318
JUN,JUN,C07,Control,Batch2,8.473677037559561
JUN,JUN,C08,Control,Batch2,8.906219180017528
JUN,JUN,C09,Control,Batch2,8.428210626109575
JUN,JUN,C10,Control,Batch2,8.517114121390227
JUN,JUN,D01,Disease,Batch1,9.576587481223234
JUN,JUN,D02,Disease,Batch1,9.372473552998661
JUN,JUN,D03,Disease,Batch1,9.788543706382882
JUN,JUN,D04,Disease,Batch1,9.718183545653797
JUN,JUN,D05,Disease,Batch1,9.725221350237927
JUN,JUN,D06,Disease,Batch2,9.599145857907125
JUN,JUN,D07,Disease,Batch2,10.015338575738676
JUN,JUN,D08,Disease,Batch2,9.510502408467566
JUN,JUN,D09,Disease,Batch2,9.868469876654226
JUN,JUN,D10,Disease,Batch2,10.157117612415973
FOS,FOS,C01,Control,Batch1,7.204690981080019
FOS,FOS,C02,Control,Batch1,7.324561818124294
FOS,FOS,C03,Control,Batch1,7.215998954667603
FOS,FOS,C04,Control,Batch1,7.027505154816614
FOS,FOS,C05,Control,Batch1,7.318965907873603
FOS,FOS,C06,Control,Batch2,7.295409903937819
FOS,FOS,C07,Control,Batch2,7.5718712099228505
FOS,FOS,C08,Control,Batch2,7.3211282102464335
FOS,FOS,C09,Control,Batch2,7.765612765311675
FOS,FOS,C10,Control,Batch2,7.345638979787995
FOS,FOS,D01,Disease,Batch1,8.348653499491496
FOS,FOS,D02,Disease,Batch1,8.55305767153506
FOS,FOS,D03,Disease,Batch1,8.185068995450406
FOS,FOS,D04,Disease,Batch1,8.447567360637262
FOS,FOS,D05,Disease,Batch1,8.641910268179355
FOS,FOS,D06,Disease,Batch2,8.297277590187496
FOS,FOS,D07,Disease,Batch2,8.619858666944333
FOS,FOS,D08,Disease,Batch2,8.633403475373234
FOS,FOS,D09,Disease,Batch2,8.727352689328434
FOS,FOS,D10,Disease,Batch2,8.363973444450464
STAT3,STAT3,C01,Control,Batch1,7.169629852652049
STAT3,STAT3,C02,Control,Batch1,7.129137612022981
STAT3,STAT3,C03,Control,Batch1,7.120769083903265
STAT3,STAT3,C04,Control,Batch1,7.138041048550463
STAT3,STAT3,C05,Control,Batch1,6.953275920956878
STAT3,STAT3,C06,Control,Batch2,7.297486036329987
STAT3,STAT3,C07,Control,Batch2,7.308433416034769
STAT3,STAT3,C08,Control,Batch2,7.127097115596261
STAT3,STAT3,C09,Control,Batch2,7.591519782847063
STAT3,STAT3,C10,Control,Batch2,7.3409702966051285
STAT3,STAT3,D01,Disease,Batch1,7.86124574134453
STAT3,STAT3,D02,Disease,Batch1,8.193860020395096
STAT3,STAT3,D03,Disease,Batch1,7.900237670200089
STAT3,STAT3,D04,Disease,Batch1,8.217355599514647
STAT3,STAT3,D05,Disease,Batch1,8.284227575062339
STAT3,STAT3,D06,Disease,Batch2,8.107957553537698
STAT3,STAT3,D07,Disease,Batch2,8.429088074104985
STAT3,STAT3,D08,Disease,Batch2,8.329980937689577
STAT3,STAT3,D09,Disease,Batch2,8.403651199640015
STAT3,STAT3,D10,Disease,Batch2,8.597103107718716
IL6,IL6,C01,Control,Batch1,7.692555809213642
IL6,IL6,C02,Control,Batch1,7.668115721465397
IL6,IL6,C03,Control,Batch1,7.681382467504212
IL6,IL6,C04,Control,Batch1,7.8143500111034525
IL6,IL6,C05,Control,Batch1,7.889635674264987
IL6,IL6,C06,Control,Batch2,8.058032662677395
IL6,IL6,C07,Control,Batch2,8.157121303624475
IL6,IL6,C08,Control,Batch2,8.010568659336014
IL6,IL6,C09,Control,Batch2,8.269864452686308
IL6,IL6,C10,Control,Batch2,7.9605900888151595
IL6,IL6,D01,Disease,Batch1,10.117858768784123
IL6,IL6,D02,Disease,Batch1,9.740848441395693
IL6,IL6,D03,Disease,Batch1,9.47393995864306
IL6,IL6,D04,Disease,Batch1,9.435467669146991
IL6,IL6,D05,Disease,Batch1,9.715073353541765
IL6,IL6,D06,Disease,Batch2,9.76800501743934
IL6,IL6,D07,Disease,Batch2,9.93674840773457
IL6,IL6,D08,Disease,Batch2,9.89341109122123
IL6,IL6,D09,Disease,Batch2,9.795119114519755
IL6,IL6,D10,Disease,Batch2,9.655805449545678
TNF,TNF,C01,Control,Batch1,
TNF,TNF,C02,Control,Batch1,7.09375872569812
TNF,TNF,C03,Control,Batch1,6.978143816663331
TNF,TNF,C04,Control,Batch1,6.715373962551737
TNF,TNF,C05,Control,Batch1,6.9707795093731075
TNF,TNF,C06,Control,Batch2,7.1889640710710845
TNF,TNF,C07,Control,Batch2,6.96051260420369
TNF,TNF,C08,Control,Batch2,7.14727746179009
TNF,TNF,C09,Control,Batch2,7.130084512040174
TNF,TNF,C10,Control,Batch2,6.913872289110382
TNF,TNF,D01,Disease,Batch1,8.604008667582585
TNF,TNF,D02,Disease,Batch1,8.640548157466176
TNF,TNF,D03,Disease,Batch1,8.734556166491444
TNF,TNF,D04,Disease,Batch1,8.729291312086177
TNF,TNF,D05,Disease,Batch1,8.291626456487618
TNF,TNF,D06,Disease,Batch2,8.550798435535173
TNF,TNF,D07,Disease,Batch2,8.812313290817453
TNF,TNF,D08,Disease,Batch2,8.812088413884092
TNF,TNF,D09,Disease,Batch2,8.812315526254983
TNF,TNF,D10,Disease,Batch2,
CXCL8,CXCL8,C01,Control,Batch1,8.604025172717725
CXCL8,CXCL8,C02,Control,Batch1,8.571343674913994
CXCL8,CXCL8,C03,Control,Batch1,8.51687378272026
CXCL8,CXCL8,C04,Control,Batch1,8.342874893449954
CXCL8,CXCL8,C05,Control,Batch1,8.536237817174005
CXCL8,CXCL8,C06,Control,Batch2,8.440514818868454
CXCL8,CXCL8,C07,Control,Batch2,8.536996008272014
CXCL8,CXCL8,C08,Control,Batch2,8.492257918875978
CXCL8,CXCL8,C09,Control,Batch2,8.594360702574754
CXCL8,CXCL8,C10,Control,Batch2,8.996261899486448
CXCL8,CXCL8,D01,Disease,Batch1,9.763515622818701
CXCL8,CXCL8,D02,Disease,Batch1,10.223150191752628
CXCL8,CXCL8,D03,Disease,Batch1,9.809334500671078
CXCL8,CXCL8,D04,Disease,Batch1,10.014675621643118
CXCL8,CXCL8,D05,Disease,Batch1,10.295634464939342
CXCL8,CXCL8,D06,Disease,Batch2,10.291193760922399
CXCL8,CXCL8,D07,Disease,Batch2,10.08562929745794
CXCL8,CXCL8,D08,Disease,Batch2,10.150868689818422
CXCL8,CXCL8,D09,Disease,Batch2,10.401950952293458
CXCL8,CXCL8,D10,Disease,Batch2,10.14815736377613
CCL2,CCL2,C01,Control,Batch1,8.15972394389007
CCL2,CCL2,C02,Control,Batch1,8.034232950138335
CCL2,CCL2,C03,Control,Batch1,8.537430948785941
CCL2,CCL2,C04,Control,Batch1,8.265626436724624
CCL2,CCL2,C05,Control,Batch1,7.786995347109013
CCL2,CCL2,C06,Control,Batch2,8.365082789365879
CCL2,CCL2,C07,Control,Batch2,8.212399449049073
CCL2,CCL2,C08,Control,Batch2,8.484959012970702
CCL2,CCL2,C09,Control,Batch2,8.188867279789497
CCL2,CCL2,C10,Control,Batch2,8.31086845324334
CCL2,CCL2,D01,Disease,Batch1,9.742418722923865
CCL2,CCL2,D02,Disease,Batch1,9.807356947658004
CCL2,CCL2,D03,Disease,Batch1,9.435467659437343
CCL2,CCL2,D04,Disease,Batch1,9.591310790256012
CCL2,CCL2,D05,Disease,Batch1,9.56603085669841
CCL2,CCL2,D06,Disease,Batch2,9.713921750844115
CCL2,CCL2,D07,Disease,Batch2,10.14930277595798
CCL2,CCL2,D08,Disease,Batch2,9.904417720680355
CCL2,CCL2,D09,Disease,Batch2,9.604561900927074
CCL2,CCL2,D10,Disease,Batch2,9.996736163177243
VEGFA,VEGFA,C01,Control,Batch1,9.671353084808048
VEGFA,VEGFA,C02,Control,Batch1,9.212022744037121
VEGFA,VEGFA,C03,Control,Batch1,9.398347204792918
VEGFA,VEGFA,C04,Control,Batch1,9.713553344762435
VEGFA,VEGFA,C05,Control,Batch1,9.358128834097462
VEGFA,VEGFA,C06,Control,Batch2,9.745396834975164
VEGFA,VEGFA,C07,Control,Batch2,9.804943467526122
VEGFA,VEGFA,C08,Control,Batch2,9.498661853024787
VEGFA,VEGFA,C09,Control,Batch2,9.654794773817718
VEGFA,VEGFA,C10,Control,Batch2,9.082081216696409
VEGFA,VEGFA,D01,Disease,Batch1,10.50111956246867
VEGFA,VEGFA,D02,Disease,Batch1,10.640047070658072
VEGFA,VEGFA,D03,Disease,Batch1,10.460908365155168
VEGFA,VEGFA,D04,Disease,Batch1,10.979343372616537
VEGFA,VEGFA,D05,Disease,Batch1,10.428083889875928
VEGFA,VEGFA,D06,Disease,Batch2,10.786301330303385
VEGFA,VEGFA,D07,Disease,Batch2,10.889042641820339
VEGFA,VEGFA,D08,Disease,Batch2,11.124938529940742
VEGFA,VEGFA,D09,Disease,Batch2,10.607054150696543
VEGFA,VEGFA,D10,Disease,Batch2,11.074878813296735
MMP9,MMP9,C01,Control,Batch1,7.83049158552508
MMP9,MMP9,C02,Control,Batch1,8.0903417680811
MMP9,MMP9,C03,Control,Batch1,8.042993887916936
MMP9,MMP9,C04,Control,Batch1,7.899124104825129
MMP9,MMP9,C05,Control,Batch1,8.019727518011914
MMP9,MMP9,C06,Control,Batch2,8.117806695278594
MMP9,MMP9,C07,Control,Batch2,8.207596264858935
MMP9,MMP9,C08,Control,Batch2,8.3063466641275
MMP9,MMP9,C09,Control,Batch2,8.472646169619875
MMP9,MMP9,C10,Control,Batch2,7.964356352924878
MMP9,MMP9,D01,Disease,Batch1,9.69110915015184
MMP9,MMP9,D02,Disease,Batch1,8.955787338799661
MMP9,MMP9,D03,Disease,Batch1,9.279841825607306
MMP9,MMP9,D04,Disease,Batch1,9.413060239880936
MMP9,MMP9,D05,Disease,Batch1,9.357741678906018
MMP9,MMP9,D06,Disease,Batch2,9.375077229146004
MMP9,MMP9,D07,Disease,Batch2,9.449701137649402
MMP9,MMP9,D08,Disease,Batch2,9.398422974475121
MMP9,MMP9,D09,Disease,Batch2,9.381077486463754
MMP9,MMP9,D10,Disease,Batch2,9.640091520177496
MMP2,MMP2,C01,Control,Batch1,8.125187113028614
MMP2,MMP2,C02,Control,Batch1,8.411838817753518
MMP2,MMP2,C03,Control,Batch1,8.305224753933322
MMP2,MMP2,C04,Control,Batch1,8.396226021566545
MMP2,MMP2,C05,Control,Batch1,8.363244031721782
MMP2,MMP2,C06,Control,Batch2,8.280691738209558
MMP2,MMP2,C07,Control,Batch2,8.329078252940079
MMP2,MMP2,C08,Control,Batch2,8.564423689097719
MMP2,MMP2,C09,Control,Batch2,8.539777487953556
MMP2,MMP2,C10,Control,Batch2,8.426148553261985
MMP2,MMP2,D01,Disease,Batch1,9.171029769171113
MMP2,MMP2,D02,Disease,Batch1,9.37989052141745
MMP2,MMP2,D03,Disease,Batch1,9.043427990185084
MMP2,MMP2,D04,Disease,Batch1,9.24838836878614
MMP2,MMP2,D05,Disease,Batch1,9.113516162737431
MMP2,MMP2,D06,Disease,Batch2,9.290728223594632
MMP2,MMP2,D07,Disease,Batch2,9.527690673533227
MMP2,MMP2,D08,Disease,Batch2,9.478485782993378
MMP2,MMP2,D09,Disease,Batch2,9.476342574655648
MMP2,MMP2,D10,Disease,Batch2,9.564897025463312
TGFB1,TGFB1,C01,Control,Batch1,8.137454223976025
TGFB1,TGFB1,C02,Control,Batch1,7.958854672956109
TGFB1,TGFB1,C03,Control,Batch1,8.073052632590851
TGFB1,TGFB1,C04,Control,Batch1,7.991276939356748
TGFB1,TGFB1,C05,Control,Batch1,8.03216196284162
TGFB1,TGFB1,C06,Control,Batch2,8.301830953721575
TGFB1,TGFB1,C07,Control,Batch2,8.047422966160905
TGFB1,TGFB1,C08,Control,Batch2,8.571332398766314
TGFB1,TGFB1,C09,Control,Batch2,8.013619560472984
TGFB1,TGFB1,C10,Control,Batch2,7.976148738841139
TGFB1,TGFB1,D01,Disease,Batch1,9.023162646372944
TGFB1,TGFB1,D02,Disease,Batch1,8.957201974056261
TGFB1,TGFB1,D03,Disease,Batch1,8.92704425621232
TGFB1,TGFB1,D04,Disease,Batch1,8.927804880810502
TGFB1,TGFB1,D05,Disease,Batch1,8.812498270030487
TGFB1,TGFB1,D06,Disease,Batch2,8.833196902275482
TGFB1,TGFB1,D07,Disease,Batch2,9.008347509617803
TGFB1,TGFB1,D08,Disease,Batch2,8.872813581070751
TGFB1,TGFB1,D09,Disease,Batch2,9.170224241158127
TGFB1,TGFB1,D10,Disease,Batch2,8.968232360472546
INS,INS,C01,Control,Batch1,7.364302510747703
INS,INS,C02,Control,Batch1,7.496479624014855
INS,INS,C03,Control,Batch1,7.320681542740527
INS,INS,C04,Control,Batch1,7.2741522910432845
INS,INS,C05,Control,Batch1,7.466015660313786
INS,INS,C06,Control,Batch2,7.646245945044812
INS,INS,C07,Control,Batch2,7.510902190678438
INS,INS,C08,Control,Batch2,7.517365067233944
INS,INS,C09,Control,Batch2,7.643920950969616
INS,INS,C10,Control,Batch2,7.341496780775723
INS,INS,D01,Disease,Batch1,6.168808482857462
INS,INS,D02,Disease,Batch1,6.292832002419804
INS,INS,D03,Disease,Batch1,6.383731474937109
INS,INS,D04,Disease,Batch1,6.478115324052883
INS,INS,D05,Disease,Batch1,6.687716081296162
INS,INS,D06,Disease,Batch2,6.756530694421605
INS,INS,D07,Disease,Batch2,6.573363026851825
INS,INS,D08,Disease,Batch2,6.598729044822758
INS,INS,D09,Disease,Batch2,6.421696676610436
INS,INS,D10,Disease,Batch2,6.598819597766612
IGF1,IGF1,C01,Control,Batch1,7.856028293616759
IGF1,IGF1,C02,Control,Batch1,7.649037382916485
IGF1,IGF1,C03,Control,Batch1,
IGF1,IGF1,C04,Control,Batch1,8.073831957096367
IGF1,IGF1,C05,Control,Batch1,7.778362126033668
IGF1,IGF1,C06,Control,Batch2,8.050247062733712
IGF1,IGF1,C07,Control,Batch2,8.102164871263902
IGF1,IGF1,C08,Control,Batch2,7.905719267816452
IGF1,IGF1,C09,Control,Batch2,8.018275599481777
IGF1,IGF1,C10,Control,Batch2,7.980205584896626
IGF1,IGF1,D01,Disease,Batch1,7.015520650494693
IGF1,IGF1,D02,Disease,Batch1,6.858797191661919
IGF1,IGF1,D03,Disease,Batch1,7.0023507841225126
IGF1,IGF1,D04,Disease,Batch1,7.087578645180084
IGF1,IGF1,D05,Disease,Batch1,7.259144802159011
IGF1,IGF1,D06,Disease,Batch2,7.350607701451239
IGF1,IGF1,D07,Disease,Batch2,7.565511795107983
IGF1,IGF1,D08,Disease,Batch2,7.039816391436054
IGF1,IGF1,D09,Disease,Batch2,7.334956667365625
IGF1,IGF1,D10,Disease,Batch2,7.210940513788807
LEP,LEP,C01,Control,Batch1,9.387368361888443
LEP,LEP,C02,Control,Batch1,9.381712121659831
LEP,LEP,C03,Control,Batch1,9.424971377072447
LEP,LEP,C04,Control,Batch1,9.150560822876606
LEP,LEP,C05,Control,Batch1,9.438226149349834
LEP,LEP,C06,Control,Batch2,9.576218174172705
LEP,LEP,C07,Control,Batch2,9.739932934818087
LEP,LEP,C08,Control,Batch2,9.774378128892259
LEP,LEP,C09,Control,Batch2,10.05057280431123
LEP,LEP,C10,Control,Batch2,9.883938344125859
LEP,LEP,D01,Disease,Batch1,10.429019395233139
LEP,LEP,D02,Disease,Batch1,10.371147412409666
LEP,LEP,D03,Disease,Batch1,10.621407504123543
LEP,LEP,D04,Disease,Batch1,10.295220075988656
LEP,LEP,D05,Disease,Batch1,10.862524631106155
LEP,LEP,D06,Disease,Batch2,10.925161274982203
LEP,LEP,D07,Disease,Batch2,10.628410435873525
LEP,LEP,D08,Disease,Batch2,10.404497838016013
LEP,LEP,D09,Disease,Batch2,10.956559080602146
LEP,LEP,D10,Disease,Batch2,10.6922448811069
CRP,CRP,C01,Control,Batch1,8.579474439798437
CRP,CRP,C02,Control,Batch1,8.758583914249744
CRP,CRP,C03,Control,Batch1,8.867415284330695
CRP,CRP,C04,Control,Batch1,8.874927925259076
CRP,CRP,C05,Control,Batch1,8.785459633515158
CRP,CRP,C06,Control,Batch2,9.158584406203973
CRP,CRP,C07,Control,Batch2,8.854299741092555
CRP,CRP,C08,Control,Batch2,9.020843111077589
CRP,CRP,C09,Control,Batch2,9.068124632089564
CRP,CRP,C10,Control,Batch2,9.139070408511998
CRP,CRP,D01,Disease,Batch1,10.994562096437424
CRP,CRP,D02,Disease,Batch1,10.664035841850605
CRP,CRP,D03,Disease,Batch1,10.59033086764901
CRP,CRP,D04,Disease,Batch1,11.096453246323154
CRP,CRP,D05,Disease,Batch1,10.92628794053775
CRP,CRP,D06,Disease,Batch2,10.911743841801243
CRP,CRP,D07,Disease,Batch2,11.325678773975476
CRP,CRP,D08,Disease,Batch2,11.067292852554138
CRP,CRP,D09,Disease,Batch2,11.258744911512911
CRP,CRP,D10,Disease,Batch2,
ALB,ALB,C01,Control,Batch1,9.758484899057168
ALB,ALB,C02,Control,Batch1,9.397710000691157
ALB,ALB,C03,Control,Batch1,9.617406318589175
ALB,ALB,C04,Control,Batch1,9.558691218342718
ALB,ALB,C05,Control,Batch1,9.688877227773213
ALB,ALB,C06,Control,Batch2,9.448837324512972
ALB,ALB,C07,Control,Batch2,9.74601281021711
ALB,ALB,C08,Control,Batch2,9.813039955050316
ALB,ALB,C09,Control,Batch2,9.30595043986123
ALB,ALB,C10,Control,Batch2,9.409537015137552
ALB,ALB,D01,Disease,Batch1,8.375461755420574
ALB,ALB,D02,Disease,Batch1,8.694030317217372
ALB,ALB,D03,Disease,Batch1,8.871681153460665
ALB,ALB,D04,Disease,Batch1,9.012947816794677
ALB,ALB,D05,Disease,Batch1,8.75586060789295
ALB,ALB,D06,Disease,Batch2,9.215674345620224
ALB,ALB,D07,Disease,Batch2,8.674105284938712
ALB,ALB,D08,Disease,Batch2,8.615914708333463
ALB,ALB,D09,Disease,Batch2,8.912524961616
ALB,ALB,D10,Disease,Batch2,8.991655328226466
APOB,APOB,C01,Control,Batch1,7.604974098326957
APOB,APOB,C02,Control,Batch1,7.961072069221832
APOB,APOB,C03,Control,Batch1,7.742309166243261
APOB,APOB,C04,Control,Batch1,8.097654735123541
APOB,APOB,C05,Control,Batch1,8.043101360631567
APOB,APOB,C06,Control,Batch2,7.987935314795211
APOB,APOB,C07,Control,Batch2,8.06461763121353
APOB,APOB,C08,Control,Batch2,7.966455242394123
APOB,APOB,C09,Control,Batch2,8.145831438824963
APOB,APOB,C10,Control,Batch2,
APOB,APOB,D01,Disease,Batch1,8.299682987993737
APOB,APOB,D02,Disease,Batch1,
APOB,APOB,D03,Disease,Batch1,8.381667305027095
APOB,APOB,D04,Disease,Batch1,8.334396566526912
APOB,APOB,D05,Disease,Batch1,8.457848211542315
APOB,APOB,D06,Disease,Batch2,8.470770058298648
APOB,APOB,D07,Disease,Batch2,8.557456801371641
APOB,APOB,D08,Disease,Batch2,8.441495655668142
APOB,APOB,D09,Disease,Batch2,9.010764200259084
APOB,APOB,D10,Disease,Batch2,8.663461115689046
LDLR,LDLR,C01,Control,Batch1,7.54870852833735
LDLR,LDLR,C02,Control,Batch1,7.489973095460841
LDLR,LDLR,C03,Control,Batch1,7.47041761648921
LDLR,LDLR,C04,Control,Batch1,7.620742150413006
LDLR,LDLR,C05,Control,Batch1,7.6465435322137045
LDLR,LDLR,C06,Control,Batch2,7.5947019378352945
LDLR,LDLR,C07,Control,Batch2,7.5865448610891475
LDLR,LDLR,C08,Control,Batch2,7.640682838917894
LDLR,LDLR,C09,Control,Batch2,7.275846334752784
LDLR,LDLR,C10,Control,Batch2,7.41745775320945
LDLR,LDLR,D01,Disease,Batch1,8.556229512545205
LDLR,LDLR,D02,Disease,Batch1,8.606286332835422
LDLR,LDLR,D03,Disease,Batch1,8.265365657285042
LDLR,LDLR,D04,Disease,Batch1,8.413972397755229
LDLR,LDLR,D05,Disease,Batch1,8.366217172223028
LDLR,LDLR,D06,Disease,Batch2,9.044390689927134
LDLR,LDLR,D07,Disease,Batch2,8.691715628463413
LDLR,LDLR,D08,Disease,Batch2,8.467166977938652
LDLR,LDLR,D09,Disease,Batch2,8.318194865097114
LDLR,LDLR,D10,Disease,Batch2,8.201031806758827
AKR1C3,AKR1C3,C01,Control,Batch1,8.006281410955882
AKR1C3,AKR1C3,C02,Control,Batch1,7.886418877379475
AKR1C3,AKR1C3,C03,Control,Batch1,8.026041425943403
AKR1C3,AKR1C3,C04,Control,Batch1,7.947745904456466
AKR1C3,AKR1C3,C05,Control,Batch1,8.446110039420118
AKR1C3,AKR1C3,C06,Control,Batch2,8.481119701357958
AKR1C3,AKR1C3,C07,Control,Batch2,8.320989469670065
AKR1C3,AKR1C3,C08,Control,Batch2,8.58881449010726
AKR1C3,AKR1C3,C09,Control,Batch2,8.336350840483627
AKR1C3,AKR1C3,C10,Control,Batch2,8.16739338886797
AKR1C3,AKR1C3,D01,Disease,Batch1,8.716586879015596
AKR1C3,AKR1C3,D02,Disease,Batch1,8.539428352970296
AKR1C3,AKR1C3,D03,Disease,Batch1,8.255720237328294
AKR1C3,AKR1C3,D04,Disease,Batch1,8.408163583052009
AKR1C3,AKR1C3,D05,Disease,Batch1,8.2848132594978
AKR1C3,AKR1C3,D06,Disease,Batch2,8.373520593533476
AKR1C3,AKR1C3,D07,Disease,Batch2,8.789136503662752
