Assay,SampleID,NPX_normalized,Group,Batch
NFKB1,D02,0.9425411479226646,Disease,Batch1
PIK3CA,D02,-0.0875957468080788,Disease,Batch1
PTEN,D02,-1.1979780584000954,Disease,Batch1
RELA,D02,1.257143447672437,Disease,Batch1
S6K1,D02,0.2575165855603512,Disease,Batch1
SOCS3,D02,0.46528484144872806,Disease,Batch1
STAT1,D02,-0.23481619611126625,Disease,Batch1
STAT3,D02,-0.4810918542593754,Disease,Batch1
TGFB1,D02,0.28225009940178936,Disease,Batch1
TNF,D02,-0.0344037171882956,Disease,Batch1
VEGFA,D02,1.9650951960036007,Disease,Batch1
VIM,D02,0.0,Disease,Batch1
ACTB,D03,-1.876852786299784,Disease,Batch1
AKR1C3,D03,-0.5388477841649255,Disease,Batch1
AKT1,D03,0.3954466523447788,Disease,Batch1
ALB,D03,0.07711313196744563,Disease,Batch1
APOB,D03,-0.41290071646612425,Disease,Batch1
BCL2,D03,-0.8294770969628456,Disease,Batch1
CCL2,D03,0.6408996379441234,Disease,Batch1
CRP,D03,1.7957628461557906,Disease,Batch1
CXCL8,D03,1.0147664791778581,Disease,Batch1
EGFR,D03,0.6087414415762407,Disease,Batch1
ERK2,D03,0.10950021306459234,Disease,Batch1
FOS,D03,-0.6094990260428137,Disease,Batch1
FOXO1,D03,-1.173822988342641,Disease,Batch1
GAPDH,D03,-1.425977763942237,Disease,Batch1
GSK3B,D03,-0.3538967486912483,Disease,Batch1
HIF1A,D03,-0.7392990857864081,Disease,Batch1
IGF1,D03,-1.792217237370707,Disease,Batch1
IL6,D03,0.6793719371498401,Disease,Batch1
INS,D03,-2.4108365465561103,Disease,Batch1
JAK1,D03,-1.5498589938548522,Disease,Batch1
JAK2,D03,0.665715258308321,Disease,Batch1
JUN,D03,0.9939756848896621,Disease,Batch1
LDLR,D03,-0.529202364208178,Disease,Batch1
LEP,D03,1.826839482630323,Disease,Batch1
MAPK1,D03,0.2921086022759276,Disease,Batch1
MMP2,D03,0.248859968691864,Disease,Batch1
MMP9,D03,0.4852738041140867,Disease,Batch1
MTOR,D03,-0.7162441860668185,Disease,Batch1
NFKB1,D03,0.5206772917357796,Disease,Batch1
PIK3CA,D03,-0.2135235945260714,Disease,Batch1
PTEN,D03,-1.258347606225513,Disease,Batch1
RELA,D03,1.3914274059147154,Disease,Batch1
S6K1,D03,0.5769952495628488,Disease,Batch1
SOCS3,D03,0.006109619918435172,Disease,Batch1
STAT1,D03,-0.0061096199184333955,Disease,Batch1
STAT3,D03,-0.8943303512931307,Disease,Batch1
TGFB1,D03,0.13247623471909975,Disease,Batch1
TNF,D03,-0.060011855001775416,Disease,Batch1
VEGFA,D03,1.6663403436619486,Disease,Batch1
VIM,D03,-0.26639473901448874,Disease,Batch1
ACTB,D04,-2.141390972290906,Disease,Batch1
AKR1C3,D04,-0.36596938225956777,Disease,Batch1
AKT1,D04,0.04807176735306484,Disease,Batch1
ALB,D04,0.23881485148310055,Disease,Batch1
APOB,D04,-0.43973639878466386,Disease,Batch1
BCL2,D04,-0.7665002644845735,Disease,Batch1
CCL2,D04,0.8171778249444355,Disease,Batch1
CRP,D04,2.322320281011578,Disease,Batch1
CXCL8,D04,1.2405426563315416,Disease,Batch1
EGFR,D04,0.6630817319439419,Disease,Batch1
ERK2,D04,0.08998777349173004,Disease,Batch1
FOS,D04,-0.3265656046743146,Disease,Batch1
FOXO1,D04,-1.2965137250551262,Disease,Batch1
GAPDH,D04,-1.2117029487195943,Disease,Batch1
GSK3B,D04,0.0061459171634172804,Disease,Batch1
HIF1A,D04,-0.854545207455903,Disease,Batch1
IGF1,D04,-1.686554320131492,Disease,Batch1
IL6,D04,0.6613347038354149,Disease,Batch1
INS,D04,-2.2960176412586932,Disease,Batch1
JAK1,D04,-1.3030919576474194,Disease,Batch1
JAK2,D04,0.8336199963563953,Disease,Batch1
JUN,D04,0.9440505803422212,Disease,Batch1
LDLR,D04,-0.3601605675563473,Disease,Batch1
LEP,D04,1.5210871106770796,Disease,Batch1
MAPK1,D04,-0.006145917163419057,Disease,Batch1
MMP2,D04,0.4742554034745634,Disease,Batch1
