Assay,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10
ERK2,-0.21184003052461797,-0.03918644446873465,-0.154652590372641,-0.4278258007025961,-0.12455494971689429,-0.06833637131183146,-0.05556071669205487,-0.07179931744266632,-0.03202433685674677,-0.09502211779057035,0.08171063496120112,-0.14718788757340384,0.10950021306459234,0.08998777349173004,0.16948702614168099,-0.16383072417779054,-8.325648849627498e-05,0.27683790798265306,0.028467473191705395,0.22950117363387257
FOS,-0.8204879873205373,-0.6530825590175091,-0.7973767709869701,-0.9866956164321099,-0.7007616101383105,-0.8895688566390474,-0.591188742510738,-0.9519485929100124,-0.42325451447782125,-0.8387725073776418,-0.3837429925986928,-0.12189420311941213,-0.6094990260428137,-0.3265656046743146,-0.06422385148807663,-0.6434753454565865,-0.19237136738462368,-0.2860630853579824,-0.2437968648996094,-0.5359324625566835
FOXO1,0.35172462146507044,0.5300582376575198,0.617227912037821,0.4992040781436682,-0.020266641962480847,0.0955156230998373,0.2352909412703177,0.24243782357063282,0.4151295815840754,0.19577286415586848,-0.9679602367951841,-1.0801025647889393,-1.173822988342641,-1.2965137250551262,-1.1414978662782644,,-1.0770689821757475,-0.8189927996526745,-1.231223116528664,-0.5152588976472874
GAPDH,-0.5683113358634806,-0.5397250818900776,-0.6243438625822186,-0.4609166766039339,-0.6247483373511793,-0.4117463303217743,-0.44755261051971207,-0.5915372499776783,-0.6276785373422626,-0.5636801250532155,-1.051875869826831,-1.0402365792673613,-1.425977763942237,-1.2117029487195943,-1.0263342358457885,-1.516695684631209,-0.9898749980858472,-1.3141886357267474,-1.143891592266554,-1.312742353570079
GSK3B,0.0,0.21106957122519976,-0.08644091344237737,0.022923831891974444,-0.08311420668749925,-0.06336521822336039,-0.018888071366621517,-0.03326986097105511,-0.07521916839760046,0.2414474787289187,-0.37360294319837806,-0.18876590731219345,-0.3538967486912483,0.0061459171634172804,-0.150931396604026,-0.05519805524840571,-0.3798080381842901,-0.17157464958342672,-0.11119314772450295,-0.18527192564624784
HIF1A,-1.0675819318273936,-0.7465772219114211,-0.7157208350426361,-0.4181024726813565,-0.666541008376548,-0.7500772734046457,-0.5394273654627435,-1.1967415764200489,-0.6721170769721381,-0.5713161699081661,-1.0042024339727433,-0.47473656451940727,-0.7392990857864081,-0.854545207455903,-0.5978938014104838,-0.3576886388814753,-0.6051545260606108,-0.7004472728393392,-0.8794949337874716,-0.8785383111529939
IGF1,-0.16915067478379786,-0.3286069942253178,,0.0596311858476426,-0.24136539197824547,-0.1347316978431543,-0.06089508116968645,-0.3673575353399938,-0.17059168030771943,-0.2042059022690106,-1.7168758415954954,-1.8161546829925523,-1.792217237370707,-1.686554320131492,-1.4469893175084207,-1.5901452341928435,-1.2467182392209741,-1.8796501692951617,-1.6361928868624185,-1.6889653932183402
IL6,-0.3326231591869142,-0.30952865567640586,-0.3319932581503604,-0.1998507601452717,-0.13009184374692673,-0.12694609789947187,-0.005938648809113545,-0.2625081438204315,0.08099717289681152,-0.2238213983504771,1.385462276693934,1.0658965667412215,0.6793719371498401,0.6613347038354149,1.008939233874333,0.8272520817952564,1.1245183734056123,0.9739445304900141,0.8239695602917116,0.7558995425385309
INS,-0.6608764576528534,-0.48116475312694806,-0.692694182914046,-0.7400484802054397,-0.5537118576981275,-0.5387328155320548,-0.6521577617551504,-0.7557117359225023,-0.5449463288198801,-0.8429147063899132,-2.563588009232727,-2.382119872234668,-2.4108365465561103,-2.2960176412586932,-2.01841803837127,-2.1842222412224777,-2.2388670074771317,-2.3207375159084584,-2.5494528776176075,-2.301086309240535
JAK1,-0.9345851516980197,-1.1908110396863947,-1.2749395590454817,-1.3811047995959278,-1.5023269597481264,-1.0415332962640962,-1.1545879591400494,-1.5099950059102092,-1.4267066995613211,-1.2495779738382335,-0.9166978583384715,-1.206403558700294,-1.5498589938548522,-1.3030919576474194,-1.239949603022386,-1.7309177721739397,-1.1267283511025372,-1.2657600169691516,-1.1505576493620016,-0.8718190507173595
JAK2,0.715016587983003,0.6117764799681256,1.238424559613831,0.7850540675573132,0.7713752752158456,0.7792742444267624,0.841190825188054,0.6695338433806732,0.6764690796554902,0.6857494240945226,0.8503034399543612,0.8158271872248815,0.665715258308321,0.8336199963563953,0.8365655018802443,1.0985613229842315,0.47919092084373105,1.0456001932982577,1.02174130110496,0.49547937184281565
JUN,0.5971700935875166,0.336615228938105,0.31581894444570224,0.25523456368354225,-0.08227073699556442,0.2730843416124511,0.31061708512597264,0.6331423768610822,0.23934334632007825,0.33270263422459045,0.844190989133045,0.6975216783441898,0.9939756848896621,0.9440505803422212,1.019087230570495,0.658392922263042,1.2031085414097191,0.5910358477363502,0.8973203224261823,1.2572117054088263
LDLR,-0.47647044006320627,-0.48767128168096185,-0.5429581091653626,-0.3934586208357178,-0.37318398579820933,-0.590276822741572,-0.576515091344441,-0.6323939642385517,-0.9130209450367124,-0.7669537339561865,-0.17616697954498406,-0.06866554181904938,-0.529202364208178,-0.3601605675563473,-0.33991694744440437,0.10363775428305111,-0.12051440586554385,-0.45229958279256444,-0.6529546891309295,-0.6988741002483199
LEP,1.3621893934878866,1.404067744518028,1.4115956514178745,1.1363600516278822,1.4184986313379202,1.391239413595839,1.576872982384499,1.5013013257358132,1.8617055245217333,1.6995268569602224,1.6966229031429503,1.6961955377551945,1.826839482630323,1.5210871106770796,2.1563905114387225,1.9844083393381204,1.8161804015445675,1.4850312772847971,1.9854095263741023,1.7923389740997528
MAPK1,-0.16033143127839722,-0.32473213307970816,-0.22390148083738914,-0.178069547693255,0.08960068503572138,-0.024081266126311007,-0.3813609780706484,-0.11569548633715065,-0.15913588793620193,-0.207211244892477,0.2967514422293984,0.42967424172303126,0.2921086022759276,-0.006145917163419057,0.15725385500758193,0.21792068433679113,0.46241429088130026,0.09332827878486327,0.09447803230070129,0.0
MMP2,0.10000814462805785,0.43419444061171486,0.29184902827874915,0.3820252503178203,0.3435165137098686,0.09571297763269193,0.16601830050649014,0.2913468859412731,0.35091020816405916,0.24173706609634849,0.4386332770809247,0.7049386467629777,0.248859968691864,0.4742554034745634,0.40738204306999926,0.34997528795054933,0.7154606392042702,0.5590192222621617,0.5051930204276047,0.6649911184561645
MMP9,-0.19468738287547627,0.11269739093929676,0.0296181622623628,-0.1150766664235956,0.0,-0.0671720652982728,0.044536312425346836,0.03326986097105333,0.28377888983037813,-0.2200551342407584,0.9587126580616516,0.28083546414518956,0.4852738041140867,0.6389272745693599,0.6516075592385864,0.4343242935019216,0.6374711033204452,0.4789564137439051,0.40992793223571056,0.7401856131703486
MTOR,-0.7162689572260703,-0.5708658088555243,-0.8636821843955023,-0.6709094864846294,-0.7919776703598096,-0.9584449532622585,-0.7553533802985442,-0.6535748580490415,-0.8526606036857576,-0.5601202659755851,-1.1412952476828115,-0.4643540607234016,-0.7162441860668185,-0.7652989252519014,-0.626961816747512,-1.055859977128713,-0.6091156109961791,-0.6125309347155721,-0.46247326303103975,-0.750539183152874
NFKB1,0.40196101451681976,0.6164726171386592,0.4818810055086775,0.6532506689665976,0.6215667325207086,0.7630135009705263,0.5063721673535291,0.43958078007171864,0.3961903229506589,0.49685079760163475,0.8167526682388573,0.9425411479226646,0.5206772917357796,0.8636311718884144,1.019115766498432,0.7949004185171553,1.186828283512467,0.6024864550111122,0.4660476707568737,0.4411595197710554
PIK3CA,-0.6814407582710045,-0.37881751798066077,-0.5201460479410605,-0.6755031299520224,,-0.553450323719451,-0.3746493761628997,-0.7853918820796011,-0.6337919882023266,-0.6409364767546561,-0.46177470477920046,-0.0875957468080788,-0.2135235945260714,-0.2391580651411651,-0.2143053257001899,-0.4814651912383887,-0.17389171445195295,-0.2671006957312656,-0.4015049847131671,-0.21488285713225963
PTEN,0.14707107866502334,0.01657230791997044,-0.01266570028882974,-0.10599526114461266,-0.05632202197910008,0.024081266126311007,-0.3172345548091746,-0.3620944708328677,0.09857596543719893,0.0,-1.2918577843310652,-1.1979780584000954,-1.258347606225513,-1.3976339994646558,-1.3725732619372426,-1.2518450814238946,-1.334681425997056,-1.192325356400005,-1.623958894688248,-1.0610021839859254
RELA,1.1398378677856016,1.0595814001367438,1.084249645125423,0.8304422182799964,1.4677388563615423,1.0655120702211018,1.0838621286377208,1.0847922071877463,1.12494539996554,1.0831186552470342,0.9725491239720832,1.257143447672437,1.3914274059147154,1.3152736610387485,1.4278704911700881,0.994459260640733,1.0368721160669274,1.0851228116932763,1.0661119480263501,1.3242795843600526
S6K1,0.353414064481143,0.21317375304220132,0.4580025832556682,0.22750695064509863,0.3475567792408736,0.8011589869281384,0.34497179623259555,0.45911492619159766,0.2098834943044654,0.3346131151615328,0.6316701529408242,0.2575165855603512,0.5769952495628488,0.3985849136870314,0.23794439128822198,0.39840298800253215,0.5881522972204749,0.4177817630845002,-0.028467473191705395,0.19453193196099683
SOCS3,0.5127341828947376,0.3977921886426641,,0.19175370986290652,0.5777522703063145,0.3928937797243801,0.3540048287339701,0.52689978235518,,0.17322040434990704,0.018565181536493114,0.46528484144872806,0.006109619918435172,0.5728849123065949,-0.04972648822551662,0.5757641355091092,0.4369080346284999,0.2742800039930984,0.1419199350073299,0.3830935184372102
STAT1,-0.3319196401360429,-0.4708777980472547,-0.3932640452771743,-0.45398573928881714,0.05579984594809417,-0.07643796566656746,0.005938648809115321,-0.20305714748490722,-0.4519779144648419,-0.33870645095224017,0.015809613074592832,-0.23481619611126625,-0.0061096199184333955,-0.15727285283628412,-0.11348318088260356,0.027338542776302432,0.10785604588228637,-0.1443217864348938,0.0776484945212772,
STAT3,-0.8555491157485076,-0.8485067651188221,-0.8926066417513079,-0.8761597226982616,-1.0664515970550354,-0.8874927242468793,-0.8546265363988192,-1.1459796875601853,-0.5973474969424339,-0.8434411905605081,-0.8711507507456586,-0.4810918542593754,-0.8943303512931307,-0.556777365796929,-0.42190654460509336,-0.8327953821063847,-0.3831419602239716,-0.5894856230416394,-0.5674983545880288,-0.3028027992884308
TGFB1,0.11227525557546869,-0.0187897041856937,0.059676906936278584,-0.02292383189197622,0.012434444829706237,0.11685219314470885,-0.11563698627268337,0.29825559560986825,-0.17524771931651273,-0.20826274832449787,0.2907661542827551,0.28225009940178936,0.13247623471909975,0.15367191549892567,0.10636415036305458,-0.10755603336860098,0.1961174752888457,-0.046652979660464666,0.1990746869300839,0.06832645346539934
TNF,,-0.8838856514436833,-1.0352319089912418,-1.2988268086969876,-1.0489480086388063,-0.996014689505782,-1.2025473482298983,-1.1257993413663563,-1.0587827677493227,-1.2705391980552543,-0.12838782450760355,-0.0344037171882956,-0.060011855001775416,-0.044841653225399014,-0.4145076631798137,-0.3899545001089102,8.325648849627498e-05,-0.10737814684712355,-0.1588340279730609,
VEGFA,1.646174116407492,1.234378366895318,1.3849714791383452,1.6993525735137105,1.3384013160855481,1.5604180743982976,1.641883515092534,1.2255850498683412,1.4659274940282216,0.8976697295307723,1.7687230703784813,1.9650951960036007,1.6663403436619486,2.2052104073049605,1.7219497702084965,1.8455483946593016,2.076812607491382,2.205471969209526,1.6359045964684995,2.1749729062895877
VIM,0.3422233511380828,0.49311236909141076,0.28185742976295813,0.4053358795227755,0.356201068643891,0.6091724995482775,0.46668628838700776,0.37164216504346825,0.32094535533483715,0.31176988152769347,-0.20630647687134207,0.0,-0.26639473901448874,-0.1180230020438433,0.27138851311512546,0.0,-0.08696378109279124,0.08070243428467094,-0.26065263234554514,-0.48281783431278313
